id,name,type,district_id
2938,"Xã Phù Lãng",Xã,178
2939,"Xã Phượng Mao",Xã,178
2940,"Xã Việt Hùng",Xã,178
2941,"Phường Nam Sơn",Phường,176
2942,"Xã Ngọc Xá",Xã,178
2943,"Xã Châu Phong",Xã,178
2944,"Xã Bồng Lai",Xã,178
2945,"Xã Cách Bi",Xã,178
2946,"Xã Đào Viên",Xã,178
2947,"Xã Yên Giả",Xã,178
2948,"Xã Mộ Đạo",Xã,178
2949,"Xã Đức Long",Xã,178
2950,"Xã Chi Lăng",Xã,178
2951,"Xã Hán Quảng",Xã,178
2952,"Thị trấn Lim","Thị trấn",179
2953,"Xã Phú Lâm",Xã,179
2954,"Phường Khắc Niệm",Phường,176
2955,"Xã Nội Duệ",Xã,179
2956,"Phường Hạp Lĩnh",Phường,176
2957,"Xã Liên Bão",Xã,179
2958,"Xã Hiên Vân",Xã,179
2959,"Xã Hoàn Sơn",Xã,179
2960,"Xã Lạc Vệ",Xã,179
2961,"Xã Việt Đoàn",Xã,179
2962,"Xã Phật Tích",Xã,179
2963,"Xã Tân Chi",Xã,179
2964,"Xã Đại Đồng",Xã,179
2965,"Xã Tri Phương",Xã,179
2966,"Xã Minh Đạo",Xã,179
2967,"Xã Cảnh Hưng",Xã,179
2968,"Phường Đông Ngàn",Phường,180
2969,"Phường Tam Sơn",Phường,180
2970,"Phường Hương Mạc",Phường,180
2971,"Phường Tương Giang",Phường,180
2972,"Phường Phù Khê",Phường,180
2973,"Phường Đồng Kỵ",Phường,180
2974,"Phường Trang Hạ",Phường,180
2975,"Phường Đồng Nguyên",Phường,180
2976,"Phường Châu Khê",Phường,180
2977,"Phường Tân Hồng",Phường,180
2978,"Phường Đình Bảng",Phường,180
2979,"Phường Phù Chẩn",Phường,180
2980,"Thị trấn Hồ","Thị trấn",181
2981,"Xã Hoài Thượng",Xã,181
2982,"Xã Đại Đồng Thành",Xã,181
2983,"Xã Mão Điền",Xã,181
2984,"Xã Song Hồ",Xã,181
2985,"Xã Đình Tổ",Xã,181
2986,"Xã An Bình",Xã,181
2987,"Xã Trí Quả",Xã,181
2988,"Xã Gia Đông",Xã,181
2989,"Xã Thanh Khương",Xã,181
2990,"Xã Trạm Lộ",Xã,181
2991,"Xã Xuân Lâm",Xã,181
2992,"Xã Hà Mãn",Xã,181
2993,"Xã Ngũ Thái",Xã,181
2994,"Xã Nguyệt Đức",Xã,181
2995,"Xã Ninh Xá",Xã,181
2996,"Xã Nghĩa Đạo",Xã,181
2997,"Xã Song Liễu",Xã,181
2998,"Thị trấn Gia Bình","Thị trấn",182
2999,"Xã Vạn Ninh",Xã,182
3000,"Xã Thái Bảo",Xã,182
3001,"Xã Giang Sơn",Xã,182
3002,"Xã Cao Đức",Xã,182
3003,"Xã Đại Lai",Xã,182
3004,"Xã Song Giang",Xã,182
3005,"Xã Bình Dương",Xã,182
3006,"Xã Lãng Ngâm",Xã,182
3007,"Xã Nhân Thắng",Xã,182
3008,"Xã Xuân Lai",Xã,182
3009,"Xã Đông Cứu",Xã,182
3010,"Xã Đại Bái",Xã,182
3011,"Xã Quỳnh Phú",Xã,182
3012,"Thị trấn Thứa","Thị trấn",183
3013,"Xã An Thịnh",Xã,183
3014,"Xã Trung Kênh",Xã,183
3015,"Xã Phú Hòa",Xã,183
3016,"Xã Mỹ Hương",Xã,183
3017,"Xã Tân Lãng",Xã,183
3018,"Xã Quảng Phú",Xã,183
3019,"Xã Trừng Xá",Xã,183
3020,"Xã Lai Hạ",Xã,183
3021,"Xã Trung Chính",Xã,183
3022,"Xã Minh Tân",Xã,183
3023,"Xã Bình Định",Xã,183
3024,"Xã Phú Lương",Xã,183
3025,"Xã Lâm Thao",Xã,183
3026,"Phường Nguyễn Trãi",Phường,184
3027,"Phường Mộ Lao",Phường,184
3028,"Phường Văn Quán",Phường,184
3029,"Phường Vạn Phúc",Phường,184
3030,"Phường Yết Kiêu",Phường,184
3031,"Phường Quang Trung",Phường,184
3032,"Phường La Khê",Phường,184
3033,"Phường Phú La",Phường,184
3034,"Phường Phúc La",Phường,184
3035,"Phường Hà Cầu",Phường,184
3036,"Phường Yên Nghĩa",Phường,184
3037,"Phường Kiến Hưng",Phường,184
3038,"Phường Phú Lãm",Phường,184
3039,"Phường Phú Lương",Phường,184
3040,"Phường Lê Lợi",Phường,185
3041,"Phường Phú Thịnh",Phường,185
3042,"Phường Ngô Quyền",Phường,185
3043,"Phường Quang Trung",Phường,185
3044,"Phường Sơn Lộc",Phường,185
3045,"Phường Xuân Khanh",Phường,185
3046,"Xã Đường Lâm",Xã,185
3047,"Phường Viên Sơn",Phường,185
3048,"Xã Xuân Sơn",Xã,185
3049,"Phường Trung Hưng",Phường,185
3050,"Xã Thanh Mỹ",Xã,185
3051,"Phường Trung Sơn Trầm",Phường,185
3052,"Xã Kim Sơn",Xã,185
3053,"Xã Sơn Đông",Xã,185
3054,"Xã Cổ Đông",Xã,185
3055,"Thị trấn Tây Đằng","Thị trấn",186
3056,"Xã Phú Cường",Xã,186
3057,"Xã Cổ Đô",Xã,186
3058,"Xã Tản Hồng",Xã,186
3059,"Xã Vạn Thắng",Xã,186
3060,"Xã Châu Sơn",Xã,186
3061,"Xã Phong Vân",Xã,186
3062,"Xã Phú Đông",Xã,186
3063,"Xã Phú Phương",Xã,186
3064,"Xã Phú Châu",Xã,186
3065,"Xã Thái Hòa",Xã,186
3066,"Xã Đồng Thái",Xã,186
3067,"Xã Phú Sơn",Xã,186
3068,"Xã Minh Châu",Xã,186
3069,"Xã Vật Lại",Xã,186
3070,"Xã Chu Minh",Xã,186
3071,"Xã Tòng Bạt",Xã,186
3072,"Xã Cẩm Lĩnh",Xã,186
3073,"Xã Sơn Đà",Xã,186
