id,name,type,province_id
394,"Thành phố Quy Nhơn","Thành phố",35
395,"Huyện An Lão",Huyện,35
396,"Thị xã Hoài Nhơn","Thị xã",35
397,"Huyện Hoài Ân",Huyện,35
398,"Huyện Phù Mỹ",Huyện,35
399,"Huyện Vĩnh Thạnh",Huyện,35
400,"Huyện Tây Sơn",Huyện,35
401,"Huyện Phù Cát",Huyện,35
402,"Thị xã An Nhơn","Thị xã",35
403,"Huyện Tuy Phước",Huyện,35
404,"Huyện Vân Canh",Huyện,35
405,"Thành phố Tuy Hoà","Thành phố",36
406,"Thị xã Sông Cầu","Thị xã",36
407,"Huyện Đồng Xuân",Huyện,36
408,"Huyện Tuy An",Huyện,36
409,"Huyện Sơn Hòa",Huyện,36
410,"Huyện Sông Hinh",Huyện,36
411,"Huyện Tây Hoà",Huyện,36
412,"Huyện Phú Hoà",Huyện,36
413,"Thị xã Đông Hòa","Thị xã",36
414,"Thành phố Nha Trang","Thành phố",37
415,"Thành phố Cam Ranh","Thành phố",37
416,"Huyện Cam Lâm",Huyện,37
417,"Huyện Vạn Ninh",Huyện,37
418,"Thị xã Ninh Hòa","Thị xã",37
419,"Huyện Khánh Vĩnh",Huyện,37
420,"Huyện Diên Khánh",Huyện,37
421,"Huyện Khánh Sơn",Huyện,37
422,"Huyện Trường Sa",Huyện,37
423,"Thành phố Phan Rang-Tháp Chàm","Thành phố",38
424,"Huyện Bác Ái",Huyện,38
425,"Huyện Ninh Sơn",Huyện,38
426,"Huyện Ninh Hải",Huyện,38
427,"Huyện Ninh Phước",Huyện,38
428,"Huyện Thuận Bắc",Huyện,38
429,"Huyện Thuận Nam",Huyện,38
430,"Thành phố Phan Thiết","Thành phố",39
431,"Thị xã La Gi","Thị xã",39
432,"Huyện Tuy Phong",Huyện,39
433,"Huyện Bắc Bình",Huyện,39
434,"Huyện Hàm Thuận Bắc",Huyện,39
435,"Huyện Hàm Thuận Nam",Huyện,39
436,"Huyện Tánh Linh",Huyện,39
437,"Huyện Đức Linh",Huyện,39
438,"Huyện Hàm Tân",Huyện,39
439,"Huyện Phú Quí",Huyện,39
440,"Thành phố Kon Tum","Thành phố",40
441,"Huyện Đắk Glei",Huyện,40
442,"Huyện Ngọc Hồi",Huyện,40
443,"Huyện Đắk Tô",Huyện,40
444,"Huyện Kon Plông",Huyện,40
445,"Huyện Kon Rẫy",Huyện,40
446,"Huyện Đắk Hà",Huyện,40
447,"Huyện Sa Thầy",Huyện,40
448,"Huyện Tu Mơ Rông",Huyện,40
449,"Huyện Ia H' Drai",Huyện,40
